Sample,Dataset,Core,Depth,Seafloor_type,Cat_BackGrass,Cat_BioturbOchre,Cat_WhiteP,Cat_MatP,Cat_BlaYeP,qPCR_proka,16SArc_avg,16SArc_stdev,16SBac_avg,16SBac_stdev,aprA_avg,aprA_stdev,arrA_avg,arrA_stdev,nirK_avg,nirK_stdev,dsrA_avg,dsrA_stdev,soxB_avg,soxB_stdev,mcrA_ML_avg,mcrA_ML_stdev,aoxB_avg,aoxB_stdev,Uni_avg,Uni_stdev,nirS_avg,nirS_stdev
BG1,Saganaki,BG,1,Background,BackGrass,Others,Others,Others,Others,NA,,,,,,,,,,,,,,,,,,,,,,
BG13,Saganaki,BG,13,Background,BackGrass,Others,Others,Others,Others,NA,,,,,,,,,,,,,,,,,,,,,,
BG7,Saganaki,BG,7,Background,BackGrass,Others,Others,Others,Others,NA,,,,,,,,,,,,,,,,,,,,,,
blank,Cardhynal,blank,NA,blank,,,,,,2000,,,,,,,,,,,,,,,,,,,,,,
C13_12,Cardhynal,C13,12,Background,BackGrass,Others,Others,Others,Others,27244647,3800000,374000,23400000,4150000,1620000,307000,12300,3140,2020000,109000,6000000,640000,4080,1310,16600,1420,49000,7370,27200000,4166818.45056873,1189.8681640625,174.02180480957
C13_15,Cardhynal,C13,15,Background,BackGrass,Others,Others,Others,Others,26130867,4300000,564000,21800000,3710000,1120000,84000,9530,846,1600000,259000,6330000,393000,2220,441,22000,2890,,,26100000,3752625.21443322,590.520202636719,59.6277694702148
C13_2,Cardhynal,C13,2,Background,BackGrass,Others,Others,Others,Others,33641158,1920000,216000,31700000,2290000,4320000,60300,33800,1670,5130000,345000,11500000,1110000,9950,811,,,182000,26600,33620000,2300164.34195472,3437.162109375,296.188690185547
C13_5,Cardhynal,C13,5,Background,BackGrass,Others,Others,Others,Others,47763049,4170000,323000,43600000,3680000,3610000,519000,29900,2730,6040000,1650000,16900000,1700000,8020,1730,3380,1080,210000,19700,47770000,3694147.93964725,4001.42309570313,263.719268798828
C13_8,Cardhynal,C13,8,Background,BackGrass,Others,Others,Others,Others,23818430,3850000,521000,20000000,555000,1160000,93000,9040,1910,1850000,380000,7320000,1330000,1240,409,12800,3200,,,23850000,761226.641677759,348.655792236328,98.0359954833984
C14_10,Cardhynal,C14,10,Background,BackGrass,Others,Others,Others,Others,24099981,3390000,362000,20700000,1520000,1100000,22900,15300,2140,1340000,368000,8270000,1110000,5910,823,2210,279,62200,8200,24090000,1562512.0799533,1614.12438964844,360.113525390625
C14_14,Cardhynal,C14,14,Background,BackGrass,Others,Others,Others,Others,18458910,3380000,334000,15100000,4860000,1010000,144000,8610,934,1450000,189000,6390000,381000,1910,276,337,68.1,,,18480000,4871463.43514965,1003.82293701172,68.7788925170898
C14_2,Cardhynal,C14,2,Background,BackGrass,Others,Others,Others,Others,82767051,2110000,191000,80700000,6060000,7360000,876000,62300,7960,11700000,1770000,20300000,1590000,30100,3640,599,193,551000,89700,82810000,6063009.23634461,4055.55981445313,1124.14294433594
C14_5,Cardhynal,C14,5,Background,BackGrass,Others,Others,Others,Others,34048029,2510000,171000,31500000,2860000,2980000,154000,20800,2140,5470000,574000,10500000,437000,8920,587,1470,735,199000,4200,34010000,2865107.50234612,3096.52856445312,455.479736328125
C15_10,Cardhynal,C15,10,Background,BackGrass,Others,Others,Others,Others,28893253,5520000,986000,23400000,2290000,1770000,365000,15900,503,2430000,394000,11900000,1630000,3630,603,15000,7020,,,28920000,2493250.08773689,1190.27282714844,102.325927734375
C15_15,Cardhynal,C15,15,Background,BackGrass,Others,Others,Others,Others,17943044,3980000,288000,14000000,1330000,701000,53500,5860,787,1610000,380000,5190000,763000,1220,173,1460,642,,,17980000,1360824.7499219,703.856750488281,25.522762298584
C15_2,Cardhynal,C15,2,Background,BackGrass,Others,Others,Others,Others,102942930,1060000,31800,102000000,15300000,6740000,745000,40300,4120,20200000,4170000,15200000,521000,53500,2910,684,41.7,786000,217000,103060000,15300033.0470231,10462.98828125,301.861206054688
C15_6,Cardhynal,C15,6,Background,BackGrass,Others,Others,Others,Others,52287532,4080000,914000,48200000,3650000,4140000,570000,22900,1630,6630000,416000,13100000,1140000,13500,1130,3010,2110,134000,25300,52280000,3762697.96821377,2508.49194335937,314.81201171875
C16_10,Cardhynal,C16,10,White patches,Others,Others,WhitePatches,Others,Others,4467782,1710000,84400,2760000,54000,573,51.2,,,,,40700,4140,,,,,,,4470000,100196.606728971,,
C16_14,Cardhynal,C16,14,White patches,Others,Others,WhitePatches,Others,Others,6996196,3910000,386000,3090000,772000,1400,46.9,,,,,147000,27600,44.3,19.4,,,,,7000000,863122.239314919,,
C16_2,Cardhynal,C16,2,White patches,Others,Others,WhitePatches,Others,Others,179898186,9520000,518000,170000000,24500000,4780000,380000,1270,150,2830000,481000,10100000,846000,10300,356,,,417000,89000,179520000,24505475.3881658,17928.830078125,2087.70043945312
C16_6,Cardhynal,C16,6,White patches,Others,Others,WhitePatches,Others,Others,14344512,3460000,356000,10900000,212000,15600,1600,,,91500,25200,278000,17100,,,,,,,14360000,414342.853202514,104.263786315918,21.5035629272461
C17_2,Cardhynal,C17,2,Background,BackGrass,Others,Others,Others,Others,65309549,2330000,608000,63000000,14700000,4900000,386000,36300,3200,8500000,1320000,12600000,2910000,12700,2710,602,162,154000,11500,65330000,14712568.232637,4827.42236328125,926.587036132812
C17_6,Cardhynal,C17,6,Background,BackGrass,Others,Others,Others,Others,47981108,5170000,1270000,42800000,10700000,4520000,1050000,51800,7970,8050000,1370000,16500000,2420000,18000,2150,1640,703,350000,124000,47970000,10775105.5679283,5493.6015625,457.5791015625
C17_9,Cardhynal,C17,9,Background,BackGrass,Others,Others,Others,Others,36154289,2990000,942000,33200000,3880000,3340000,1060000,23300,2100,4420000,894000,7840000,1440000,,,866,244,154000,54900,36190000,3992713.86402782,2847.20190429687,371.612731933594
C18_12,Cardhynal,C18,12,Background,BackGrass,Others,Others,Others,Others,24413879,3240000,856000,21200000,3960000,767000,142000,3930,1050,21000,9930,7310000,232000,2980,633,9300,3140,42300,6300,24440000,4051460.97105723,,
C18_16,Cardhynal,C18,16,Background,BackGrass,Others,Others,Others,Others,16592785,2520000,156000,14100000,845000,1280000,259000,2290,571,10600,383,4130000,347000,1550,142,5740,1090,25500,3710,16620000,859279.349222359,748.744079589844,26.3174057006836
C18_2,Cardhynal,C18,2,Background,BackGrass,Others,Others,Others,Others,55878720,1630000,386000,54200000,6300000,5440000,173000,29000,2410,83700,11100,15000000,2460000,35900,17900,1700,918,715000,52200,55830000,6311814.00232928,7854.81396484375,1056.72534179688
C18_4,Cardhynal,C18,4,Background,BackGrass,Others,Others,Others,Others,81478252,4020000,634000,77500000,15200000,6720000,433000,33200,3880,67100,24000,20300000,2000000,5990000,234000,20200,1140,666000,180000,81520000,15213216.4909331,10768.314453125,153.304748535156
C18_7,Cardhynal,C18,7,Background,BackGrass,Others,Others,Others,Others,36367336,1830000,239000,34500000,2930000,2830000,354000,7530,1680,41500,4950,9210000,159000,9860,1900,2510,1200,172000,62700,36330000,2939731.45031991,2771.71166992188,403.554351806641
C19_10,Cardhynal,C19,10,White patches,Others,Others,WhitePatches,Others,Others,2821444,1500000,110000,1320000,46900,,,,,,,24600,2150,,,,,,,2820000,119580.976747976,,
C19_12,Cardhynal,C19,12,White patches,Others,Others,WhitePatches,Others,Others,5210193,2870000,170000,2340000,322000,,,,,,,56400,2100,,,,,,,5210000,364120.85905644,,
C19_2,Cardhynal,C19,2,White patches,Others,Others,WhitePatches,Others,Others,81028586,4870000,858000,76200000,4570000,1860000,54700,368,53.4,7540,380,1020000,102000,2030,611,,,56400,13900,81070000,4649845.58883411,1708.00231933594,89.7039794921875
C19_6,Cardhynal,C19,6,White patches,Others,Others,WhitePatches,Others,Others,9192492,2270000,258000,6920000,230000,3600,632,14.6,3.99,,,124000,7450,,,3920,617,,,9190000,345635.64630981,,
C20_10,Cardhynal,C20,10,Bioturbation,Others,BiotOchr,Others,Others,Others,42839049,2120000,167000,40700000,5500000,2930000,656000,2280,464,10200,3130,4650000,622000,18000,2230,,,361000,119000,42820000,5502534.7795357,7614.07763671875,973.445922851563
C20_14,Cardhynal,C20,14,Bioturbation,Others,BiotOchr,Others,Others,Others,1221150,151000,11200,1070000,101000,7770,3940,,,,,103000,14400,,,,,,,1221000,101619.092694237,,
C20_2,Cardhynal,C20,2,Bioturbation,Others,BiotOchr,Others,Others,Others,194817543,4660000,615000,190000000,44200000,11100000,1830000,1310,209,36400,2460,7350000,1430000,34900,6090,,,420000,52000,194660000,44204278.3562858,10777.6025390625,923.47607421875
C20_6,Cardhynal,C20,6,Bioturbation,Others,BiotOchr,Others,Others,Others,120578962,4920000,802000,116000000,10000000,10300000,3020000,3480,331,41800,5810,13500000,1970000,59100,5300,,,803000,20300,120920000,10032108.6517242,14516.51953125,1178.05224609375
C21_10,Cardhynal,C21,10,White patches,Others,Others,WhitePatches,Others,Others,3945950,1670000,167000,2270000,544000,1360,216,26,13.1,,,68300,9020,,,,,,,3940000,569056.236236806,,
C21_2,Cardhynal,C21,2,White patches,Others,Others,WhitePatches,Others,Others,203670359,5350000,430000,198000000,14500000,4970000,1080000,1350,235,25700,4190,7100000,643000,7860,3450,,,342000,9340,203350000,14506374.4609051,9557.0791015625,940.051086425781
C21_4,Cardhynal,C21,4,White patches,Others,Others,WhitePatches,Others,Others,96164460,4090000,243000,92100000,7570000,3260000,316000,290,64.9,4550,988,1510000,82900,9620,1360,,,383000,93300,96190000,7573899.19394231,8342.4453125,788.354370117188
C21_6,Cardhynal,C21,6,White patches,Others,Others,WhitePatches,Others,Others,16247401,4600000,158000,11600000,1170000,62500,4870,85.6,26.5,827,126,537000,72200,,,,,,,16200000,1180620.1760092,112.861534118652,26.8678417205811
C22_2,Cardhynal,C22,2,White patches,Others,Others,WhitePatches,Others,Others,9111071,3690000,857000,82100000,20400000,1230000,155000,353,116,851000,199000,1410000,127000,4600,843,,,132000,25400,85790000,20417993.2657448,3922.67358398438,486.810363769531
C22_4,Cardhynal,C22,4,White patches,Others,Others,WhitePatches,Others,Others,4285179,2980000,554000,6130000,1110000,5890,1950,386,127,60500,6410,301000,53200,,,,,,,9110000,1240570.83634914,,
C22_6,Cardhynal,C22,6,White patches,Others,Others,WhitePatches,Others,Others,85779089,1340000,121000,2940000,264000,4540,1140,23.3,10.4,38100,8490,71800,5720,,,,,,,4280000,290408.33321377,,
C23_10,Cardhynal,C23,10,White patches,Others,Others,WhitePatches,Others,Others,873417,267000,62200,607000,80900,4080,468,,,,,12300,900,,,,,,,874000,102047.292957726,,
C23_2,Cardhynal,C23,2,White patches,Others,Others,WhitePatches,Others,Others,188775307,8410000,1920000,180000000,35300000,3720000,1290000,1510,503,22700,3970,7950000,1320000,12800,1400,,,372000,46000,188410000,35352176.7363765,12237.78125,1752.25573730469
C23_4,Cardhynal,C23,4,White patches,Others,Others,WhitePatches,Others,Others,23082620,3250000,567000,19800000,4460000,207000,66700,241,35.7,1050,332,421000,56000,575,151,,,,,23050000,4495896.90718104,1373.28186035156,330.463745117187
