	Domain	Phylum	Class	Order	Family	Genus	Species
OTU_1	Archaea	Geothermarchaeota					
OTU_2	Bacteria	Campylobacterota	Campylobacteria	Campylobacterales	Sulfurimonadaceae	Sulfurimonas	
OTU_3	Bacteria	Campylobacterota	Campylobacteria	Campylobacterales	Arcobacteraceae		
OTU_4	Archaea	Crenarchaeota	Thermoprotei	Desulfurococcales	Desulfurococcaceae	Staphylothermus	
OTU_5	Bacteria	Campylobacterota	Campylobacteria	Campylobacterales	Sulfurimonadaceae	Sulfurimonas	
OTU_6	Bacteria	Campylobacterota	Campylobacteria	Campylobacterales	Sulfurovaceae	Sulfurovum	
OTU_7	Bacteria	Desulfobacterota	Dissulfuribacteria	Dissulfuribacterales	Dissulfuribacteraceae		
OTU_8	Bacteria	Campylobacterota	Campylobacteria	Campylobacterales	Campylobacteraceae	Campylobacter	
OTU_9	Eukaryota (Chloroplast)						
OTU_10	Bacteria	Acetothermia	Acetothermiia				
OTU_11	Bacteria	Bacteroidota	Bacteroidia	Bacteroidetes VC2.1 Bac22			
OTU_12	Bacteria	Proteobacteria	Gammaproteobacteria	Thiomicrospirales	Thiomicrospiraceae	Galenea	Galenea microaerophila
OTU_13	Bacteria	Thermosulfidibacterota	Thermosulfidibacteria	Thermosulfidibacterales			
OTU_14	Bacteria	Proteobacteria	Gammaproteobacteria	B2M28			
OTU_15	Bacteria	Campylobacterota	Campylobacteria	Campylobacterales	Sulfurovaceae	Sulfurovum	
OTU_16	Archaea	Thermoplasmatota	Thermoplasmata	JdFR-43			
OTU_17	Bacteria	Campylobacterota	Campylobacteria	Campylobacterales	Arcobacteraceae		
OTU_18	Bacteria	Desulfobacterota	Desulfobacteria	Desulfatiglandales	Desulfatiglandaceae	Desulfatiglans	
OTU_19	Bacteria	Campylobacterota	Campylobacteria	Campylobacterales	Sulfurimonadaceae	Sulfurimonas	
OTU_20	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales			
OTU_21	Bacteria	Actinobacteriota	Acidimicrobiia	Actinomarinales			
OTU_22	Bacteria	Acetothermia	Acetothermiia				
OTU_23	Bacteria	Campylobacterota	Campylobacteria	Campylobacterales	Sulfurimonadaceae	Sulfurimonas	
OTU_24	Bacteria	Thermosulfidibacterota	Thermosulfidibacteria	Thermosulfidibacterales			
OTU_25	Bacteria	Acetothermia	Acetothermiia				
OTU_26	Bacteria	Desulfobacterota	Desulfobacteria	Desulfatiglandales	Desulfatiglandaceae		
OTU_27	Bacteria	Desulfobacterota	Desulfobacteria	Desulfobacterales	Desulfosarcinaceae	SEEP-SRB1	
OTU_28	Bacteria	Proteobacteria	Gammaproteobacteria	Ectothiorhodospirales	Ectothiorhodospiraceae	Thiogranum	
OTU_29	Bacteria	Desulfobacterota	Desulfobacteria	Desulfobacterales	Desulfosarcinaceae	Sva0081 sediment group	
OTU_30	Bacteria	Firmicutes	TTA-B61				
OTU_31	Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales			
OTU_32	Archaea	Bathyarchaeota					
OTU_33	Bacteria	Sva0485					
OTU_34	Bacteria	Proteobacteria	Gammaproteobacteria				
OTU_35	Bacteria	Calditrichota	Calditrichia	Calditrichales	Calditrichaceae	JdFR-76	
OTU_36	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Muriicola	
OTU_37	Bacteria	Proteobacteria	Alphaproteobacteria	Pelagibacterales			
OTU_38	Bacteria	Bacteroidota	Bacteroidia	Bacteroidetes VC2.1 Bac22			
OTU_39	Bacteria	Acidobacteriota	Aminicenantia	Aminicenantales			
OTU_40	Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales	Chromatiaceae	Candidatus Thiobios	
OTU_41	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Arcticiflavibacter	
OTU_42	Bacteria	Calditrichota	Calditrichia	Calditrichales			
OTU_43	Bacteria	Desulfobacterota	Desulfuromonadia	Desulfuromonadales	Geopsychrobacteraceae		
OTU_44	Bacteria	Proteobacteria	Gammaproteobacteria				
OTU_45	Archaea	Nanoarchaeota	Nanoarchaeia	Woesearchaeales			
OTU_46	Bacteria	Chloroflexi	Anaerolineae	MSB-5E12			
OTU_47	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	SB-5		
OTU_48	Bacteria	Acidobacteriota	Thermoanaerobaculia	Thermoanaerobaculales	Thermoanaerobaculaceae	Subgroup 23	
OTU_49	Bacteria	Desulfobacterota	Desulfobacteria	Desulfobacterales	Desulfosarcinaceae	SEEP-SRB1	
OTU_50	Bacteria	Desulfobacterota	Desulfobulbia	Desulfobulbales	Desulfocapsaceae		
OTU_51	Bacteria	Aerophobota	Aerophobia	Aerophobales			
OTU_52	Bacteria	Gracilibacteria phylum incertae sedis	Gracilibacteria	Absconditabacteriales (SR1)			
OTU_53	Archaea	Nanoarchaeota	Nanoarchaeia				
OTU_54	Bacteria	Proteobacteria	Gammaproteobacteria	Thiomicrospirales	Thiomicrospiraceae	endosymbionts (Thiomicrospiraceae)	
OTU_55	Bacteria	Desulfobacterota	Desulfobacteria	Desulfobacterales	Desulfosarcinaceae	Sva0081 sediment group	
OTU_56	Bacteria	Calditrichota	Calditrichia	Calditrichales			
OTU_57	Bacteria	Proteobacteria	Gammaproteobacteria	Thiotrichales	Thiotrichaceae		
OTU_58	Archaea	Thermoplasmatota	Thermoplasmata	Marine Benthic Group D and DHVEG-1			
OTU_59	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae		
OTU_60	Bacteria						
OTU_61	Bacteria	Desulfobacterota	Incertae Sedis (Desulfobacterota)				
OTU_62	Bacteria	Acidobacteriota	Acidobacteria group 22				
OTU_63	Bacteria	Desulfobacterota	Syntrophobacteria	Syntrophobacterales			
OTU_64	Bacteria	Desulfobacterota	Desulfobacteria	Desulfobacterales			
OTU_65	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae		
OTU_66	Bacteria	Campylobacterota	Campylobacteria	Campylobacterales	Sulfurovaceae	Sulfurovum	
OTU_67	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Pseudoalteromonadaceae	Pseudoalteromonas	
OTU_68	Bacteria	Campylobacterota	Campylobacteria	Campylobacterales	Sulfurimonadaceae	Sulfurimonas	
OTU_69	Bacteria	Bacteroidota	Ignavibacteria	Ignavibacteriales	PHOS-HE36		
OTU_70	Archaea	Korarchaeota	Korarchaeia	Korarchaeales	Korarchaeaceae	Candidatus Korarchaeum	
OTU_71	Bacteria	Campylobacterota	Campylobacteria	Campylobacterales			
OTU_72	Bacteria	Latescibacterota	Latescibacteria	Latescibacterales			
OTU_73	Archaea	Thermoplasmatota	Thermoplasmata	Marine Benthic Group D and DHVEG-1			
OTU_74	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Geobacillus	
OTU_75	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae		
OTU_76	Bacteria	Bacteroidota	Ignavibacteria	Ignavibacteriales	Melioribacteraceae	IheB3-7	
OTU_77	Bacteria						
OTU_78	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	SB-5		
OTU_79	Bacteria	Proteobacteria	Gammaproteobacteria	Thiotrichales	Thiotrichaceae		
OTU_80	Bacteria	Actinobacteriota	Actinobacteria	Corynebacteriales	Corynebacteriaceae	Corynebacterium	
OTU_81	Bacteria	Campylobacterota	Campylobacteria	Campylobacterales	Sulfurospirillaceae	Sulfurospirillum	
OTU_82	Bacteria	Chloroflexi	Anaerolineae	SJA-15			
OTU_83	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Caldibacillus	
OTU_84	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae		
OTU_85	Bacteria	Verrucomicrobiota	Omnitrophia	Omnitrophales	Omnitrophaceae		
