	BG1	BG13	BG7	C13_12	C13_15	C13_2	C13_5	C13_8	C14_10	C14_14	C14_2	C14_5	C15_10	C15_15	C15_2	C15_6	C16_10	C16_14	C16_2	C16_6	C17_2	C17_6	C17_9	C18_12	C18_16	C18_2	C18_4	C18_7	C19_10	C19_12	C19_2	C19_6	C20_10	C20_14	C20_2	C20_6	C21_10	C21_2	C21_4	C21_6	C22_2	C22_4	C22_6	C23_10	C23_2	C23_4	C23_6	C24_10	C24_14	C24_2	C24_4	C24_6	C25_0	C25_10	C25_15	C25_2	C25_6	C26_0	C26_10	C26_15	C26_2	C26_6	C27_10	C27_13	C27_2	C27_6	C28_10	C28_15	C28_2	C28_6	MAT1	MAT2	SG1	SG13	SG7	SSW	TZ1	TZ13	TZ7	TZF	WM1	WM11	WM13	WM3	WM5	WM7	WM9	WMF	blank
OTU_1	31	44	30	0	0	0	0	0	0	0	0	0	0	0	0	0	696	302	0	16	1	0	1	0	0	0	0	0	182	134	0	19	0	0	0	0	197	0	0	2	0	4	58	586	0	1	25	0	0	0	0	0	0	0	0	0	0	0	39	172	3	7	0	0	0	0	21	0	33	84	0	1	23	63	61	7	25	35	7	5545	9	2857	20939	7	111	4767	476	6169	0
OTU_2	4	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	7	4	0	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	19	3	0	0	0	8	14	11	4	16	3959	27331	23629	11924	95	120	534	141	116	1703	13	2	5	85	55	227	29	135	0	6	1	96	39	1	2	226	0
OTU_3	195	108	147	0	1	0	0	1	0	2	0	1	2	0	0	1	28	14	58	45	1	1	1	0	0	0	0	0	0	3	1	0	0	0	0	3	8	18	15	29	3	0	1	9	53	13	55	0	0	1	0	1	632	43	49	96	36	2748	3013	2963	5220	5763	0	1163	852	1923	4365	525	24873	4830	5041	9817	240	144	261	146	3254	54857	618	3262	32	29	161	10844	1535	72	12	3780	2
OTU_4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	5	1	438	376	1233	34	20244	149	2569	20197	0	0	0	0	1	0	0	0	0	4	0	5	1	0	0	0	0	3	0
OTU_5	88	79	72	1	0	1	0	0	0	30	2	1	3	1	2	0	4	21	68	2	0	3	1	3	4	1	2	3	0	1	3	0	22	1	12	38	3	4	2	3	3	1	4	182	118	3	21	2	0	15	3	7	375	1	5	11	4	194	22	589	46	34	14384	12521	1782	6564	0	0	214	0	1576	2083	312	59	156	66	4691	14333	733	2274	10	3	10	316	29	22	0	2563	0
OTU_6	372	270	154	19	39	789	133	65	1185	2046	85	89	401	188	183	31	0	37	3494	2	606	185	142	365	198	1144	2112	1090	2	0	2907	19	1550	31	3246	3286	1	3444	6518	928	8367	8	0	1055	5122	3606	449	344	1	4038	2689	2378	821	4	2	27	11	15	1	2	1	1	0	0	0	0	0	1	8	0	51	8	4686	119	870	26	20888	9328	2243	470	30	4	28	2311	25	38	3	557	0
OTU_7	814	442	592	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	29	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	15	94	3	0	0	0	3	31	51	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	798	418	627	42	591	513	216	30703	146	0	103	0	3	302	0	35164	0
OTU_8	66	41	33	2	8	302	39	18	267	585	15	34	139	70	25	5	0	14	1182	1	270	95	65	57	26	260	533	236	0	0	540	10	212	3	782	722	4	754	2232	1674	1104	2	2	407	1583	1282	683	93	0	846	873	693	93	0	0	5	3	2	0	3	1	1	0	0	0	0	6	0	53	0	5	0	664	23	156	15	3606	1501	1760	310	3	8	7	4135	828	13	0	306	0
OTU_10	35	44	44	0	0	0	0	0	0	0	0	0	0	1	0	0	206	48	0	162	0	0	0	0	0	0	1	0	178	59	0	49	0	5	0	0	185	0	6	204	0	131	0	1	0	16	167	1	13	0	0	0	0	2	3	0	0	7	149	465	12	87	0	0	0	0	0	0	0	0	0	0	56	26	36	8	36	16	18	219	11	2343	6119	39	1028	11717	936	219	0
OTU_11	152	60	91	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	4	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	4	0	0	0	0	0	0	0	15	10	1	13	0	0	4	0	4	206	0	0	6	0	34	1	65	2	1	0	0	460	335	0	0	31	0	800	981	370	87	236	19	7380	12525	890	466	35	30	5	1811	64	31	14	427	0
OTU_12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	8031	2418	7244	16682	1	0	25	2	17	0	1	1	0	2	2	4	0	1	0	0	0	0	0	0	0	2	0
OTU_13	105	52	81	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	300	148	0	5	0	0	0	0	0	0	2	1	0	0	5	0	0	0	3	0	0	0	1	0	0	0	0	0	0	5	97	34	16	63	0	0	0	0	0	0	1	0	0	0	116	47	63	8	290	277	4137	525	37	931	4673	971	1451	18429	692	561	0
OTU_14	7028	813	2040	86	83	220	181	101	79	214	110	119	341	122	138	95	0	1	25	0	214	140	167	46	9	151	139	68	0	0	7	0	8	0	57	44	1	19	0	0	20	0	0	2	32	5	1	11	3	164	167	142	536	479	256	819	304	15	1	0	4	0	0	0	0	0	0	0	7	4	2	0	3002	235	883	38	1155	471	50	184	19	0	11	36	2	44	0	286	0
OTU_15	44	25	8	11	11	142	20	12	173	462	16	33	109	44	53	8	0	53	770	2	164	41	35	44	18	174	348	199	2	2	577	7	101	3	426	615	4	689	1011	127	1149	3	0	3205	1836	407	54	49	0	827	677	404	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	1	1	324	15	68	6	1731	674	311	78	5	0	5	168	5	6	0	105	0
