"","Domain","Phylum","Class","Order","Family","Genus","Species"
"OTU_1","Archaea","Geothermarchaeota","Unclassified_Geothermarchaeota","Unclassified_Geothermarchaeota","Unclassified_Geothermarchaeota","Unclassified_Geothermarchaeota","Unclassified_Geothermarchaeota"
"OTU_2","Bacteria","Campylobacterota","Campylobacteria","Campylobacterales","Sulfurimonadaceae","Sulfurimonas","Unclassified_Sulfurimonas"
"OTU_3","Bacteria","Campylobacterota","Campylobacteria","Campylobacterales","Arcobacteraceae","Unclassified_Arcobacteraceae","Unclassified_Arcobacteraceae"
"OTU_4","Archaea","Crenarchaeota","Thermoprotei","Desulfurococcales","Desulfurococcaceae","Staphylothermus","Unclassified_Staphylothermus"
"OTU_5","Bacteria","Campylobacterota","Campylobacteria","Campylobacterales","Sulfurimonadaceae","Sulfurimonas","Unclassified_Sulfurimonas"
"OTU_6","Bacteria","Campylobacterota","Campylobacteria","Campylobacterales","Sulfurovaceae","Sulfurovum","Unclassified_Sulfurovum"
"OTU_7","Bacteria","Desulfobacterota","Dissulfuribacteria","Dissulfuribacterales","Dissulfuribacteraceae","Unclassified_Dissulfuribacteraceae","Unclassified_Dissulfuribacteraceae"
"OTU_8","Bacteria","Campylobacterota","Campylobacteria","Campylobacterales","Campylobacteraceae","Campylobacter","Unclassified_Campylobacter"
"OTU_10","Bacteria","Acetothermia","Acetothermiia","Unclassified_Acetothermiia","Unclassified_Acetothermiia","Unclassified_Acetothermiia","Unclassified_Acetothermiia"
"OTU_11","Bacteria","Bacteroidota","Bacteroidia","Bacteroidetes VC2.1 Bac22","Unclassified_Bacteroidetes VC2.1 Bac22","Unclassified_Bacteroidetes VC2.1 Bac22","Unclassified_Bacteroidetes VC2.1 Bac22"
"OTU_12","Bacteria","Proteobacteria","Gammaproteobacteria","Thiomicrospirales","Thiomicrospiraceae","Galenea","Galenea microaerophila"
"OTU_13","Bacteria","Thermosulfidibacterota","Thermosulfidibacteria","Thermosulfidibacterales","Unclassified_Thermosulfidibacterales","Unclassified_Thermosulfidibacterales","Unclassified_Thermosulfidibacterales"
"OTU_14","Bacteria","Proteobacteria","Gammaproteobacteria","B2M28","Unclassified_B2M28","Unclassified_B2M28","Unclassified_B2M28"
"OTU_15","Bacteria","Campylobacterota","Campylobacteria","Campylobacterales","Sulfurovaceae","Sulfurovum","Unclassified_Sulfurovum"
"OTU_16","Archaea","Thermoplasmatota","Thermoplasmata","JdFR-43","Unclassified_JdFR-43","Unclassified_JdFR-43","Unclassified_JdFR-43"
"OTU_17","Bacteria","Campylobacterota","Campylobacteria","Campylobacterales","Arcobacteraceae","Unclassified_Arcobacteraceae","Unclassified_Arcobacteraceae"
"OTU_18","Bacteria","Desulfobacterota","Desulfobacteria","Desulfatiglandales","Desulfatiglandaceae","Desulfatiglans","Unclassified_Desulfatiglans"
"OTU_19","Bacteria","Campylobacterota","Campylobacteria","Campylobacterales","Sulfurimonadaceae","Sulfurimonas","Unclassified_Sulfurimonas"
"OTU_20","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Unclassified_Enterobacterales","Unclassified_Enterobacterales","Unclassified_Enterobacterales"
"OTU_21","Bacteria","Actinobacteriota","Acidimicrobiia","Actinomarinales","Unclassified_Actinomarinales","Unclassified_Actinomarinales","Unclassified_Actinomarinales"
"OTU_22","Bacteria","Acetothermia","Acetothermiia","Unclassified_Acetothermiia","Unclassified_Acetothermiia","Unclassified_Acetothermiia","Unclassified_Acetothermiia"
"OTU_23","Bacteria","Campylobacterota","Campylobacteria","Campylobacterales","Sulfurimonadaceae","Sulfurimonas","Unclassified_Sulfurimonas"
"OTU_24","Bacteria","Thermosulfidibacterota","Thermosulfidibacteria","Thermosulfidibacterales","Unclassified_Thermosulfidibacterales","Unclassified_Thermosulfidibacterales","Unclassified_Thermosulfidibacterales"
